job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
15,Graphic Designer,Portland OR,Design,45000-65000,Boutique branding agency.,Design logos and brand identities.,Adobe Creative Suite proficiency.,Flexible hours health,0,1,0,Full-time,Entry level,Bachelor's Degree,Design,Design,0
16,Software Developer,Remote,,Work from home $500 weekly,,,Click here to earn money from home!,,1,0,0,Other,,,,Information Technology and Services,Information Technology,1
17,Project Manager,Denver CO,Project Management,,Construction and engineering firm.,Manage large-scale infrastructure projects.,PMP certification 7+ years.,Full benefits vehicle allowance,0,1,1,Full-time,Director,Bachelor's Degree,Civil Engineering,Project Management,0
18,Business Analyst,Washington DC,Strategy,60000-85000,Federal consulting firm.,Gather requirements and document processes.,3+ years BA experience CBAP preferred.,Health 401k transit benefits,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Management Consulting,Business Development,0
19,Machine Learning Engineer,San Francisco CA,Engineering,120000-180000,AI-first product company.,Build and deploy production ML systems.,TensorFlow PyTorch expertise.,Top-tier benefits equity,0,1,1,Full-time,Mid-Senior level,Master's Degree,Computer Software,Engineering,0
20,Recruiter,Atlanta GA,Human Resources,55000-75000,Large staffing agency.,Source and place candidates in tech roles.,2+ years recruiting ATS experience.,Health commission PTO,0,1,1,Full-time,Associate,Bachelor's Degree,Staffing and Recruiting,Human Resources,0
21,Social Media Manager,New York NY,Marketing,,Fashion brand with global presence.,Manage Instagram TikTok Twitter channels.,3+ years social media experience.,Health creative budget,0,1,1,Full-time,Associate,Bachelor's Degree,Apparel and Fashion,Marketing,0
22,Cybersecurity Analyst,Washington DC,IT Security,85000-115000,Defense contractor.,Monitor and respond to security threats.,CISSP or Security+ certification.,Secret clearance health 401k,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Defense and Space,Information Technology,0
23,Administrative Assistant,Phoenix AZ,Administration,35000-45000,Real estate development company.,Support executive team with scheduling.,MS Office proficiency.,Health PTO,0,1,0,Full-time,Entry level,High School or equivalent,Real Estate,Administrative,0
24,Quality Assurance Engineer,Minneapolis MN,QA,70000-95000,Medical device manufacturer.,Test software for FDA compliance.,Selenium JIRA 3+ years.,Health 401k bonus,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Medical Devices,Quality Assurance,0
25,Full Stack Developer,Austin TX,Engineering,90000-130000,B2B SaaS startup.,Build features across frontend and backend.,React Node PostgreSQL.,Equity health unlimited PTO,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Engineering,0
26,Earn money fast working from home,Anywhere,,5000 per week no experience,,No skills needed earn cash daily!,None. Unlimited earning potential!,,1,0,0,Part-time,Not Applicable,,,Information Technology,1
27,Marketing Coordinator,San Diego CA,Marketing,42000-55000,Regional hospitality group.,Support marketing campaigns and events.,1+ year marketing Adobe Suite.,Health PTO,0,1,1,Full-time,Entry level,Bachelor's Degree,Hospitality,Marketing,0
28,Cloud Architect,New York NY,Engineering,140000-200000,Fortune 100 bank.,Design cloud migration strategy.,AWS Azure Solutions Architect cert.,Executive benefits equity,0,1,1,Full-time,Director,Master's Degree,Banking,Engineering,0
29,Nurse Practitioner,Nashville TN,Clinical,,Multi-site healthcare group.,Provide primary care services.,NP license 2+ years clinical.,Malpractice coverage health 401k,0,1,1,Full-time,Mid-Senior level,Master's Degree,Hospital and Health Care,Health Care Provider,0
30,Supply Chain Analyst,Detroit MI,Supply Chain,55000-75000,Automotive OEM.,Analyze supplier performance and costs.,Excel SAP logistics knowledge.,Health 401k profit sharing,0,1,1,Full-time,Associate,Bachelor's Degree,Automotive,Analyst,0
31,iOS Developer,San Francisco CA,Mobile,100000-150000,Consumer app company.,Build native iOS applications.,Swift UIKit 3+ years App Store.,Equity health unlimited PTO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
32,Teacher,Chicago IL,Education,40000-55000,Charter school network.,Teach middle school mathematics.,State teaching certification.,Health pension PTO,0,1,1,Full-time,Entry level,Bachelor's Degree,Education Management,Education,0
33,Executive Assistant,Boston MA,Administration,65000-80000,Private equity firm.,Support C-suite executives.,7+ years EA experience discretion.,Health 401k bonus,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Administrative,0
34,Backend Developer,Remote,Engineering,85000-120000,Distributed team product company.,Build scalable APIs and microservices.,Go or Java Kubernetes PostgreSQL.,Home setup budget health equity,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Engineering,0
35,Brand Strategist,Los Angeles CA,Marketing,80000-110000,Entertainment marketing agency.,Develop brand narratives for media clients.,7+ years brand strategy.,Health creative stipend,0,1,1,Full-time,Director,Master's Degree,Entertainment,Marketing,0
36,Work from home immediately start today,Remote,,200 dollars per day,,No experience no interview required.,Nothing! Just sign up!,,1,0,0,Part-time,Not Applicable,,,Information Technology,1
37,Accountant,Seattle WA,Finance,60000-80000,Regional CPA firm.,Prepare tax returns and financial statements.,CPA preferred 3+ years.,Health 401k PTO,0,1,1,Full-time,Associate,Bachelor's Degree,Accounting,Accounting and Finance,0
38,Legal Counsel,New York NY,Legal,150000-200000,Global law firm.,Advise on corporate transactions.,JD 5+ years corporate law.,Top benefits equity,0,1,1,Full-time,Director,Juris Doctor,Law Practice,Legal,0
39,IT Support Technician,Dallas TX,IT,40000-55000,Managed services provider.,Troubleshoot desktop and network issues.,CompTIA A+ or Network+.,Health 401k,0,1,0,Full-time,Entry level,Associate Degree,Information Technology and Services,Information Technology,0
40,Biomedical Engineer,Boston MA,R&D,75000-100000,Medical technology company.,Design and test medical devices.,Biomedical engineering degree.,Health 401k patent incentives,0,1,1,Full-time,Associate,Bachelor's Degree,Medical Devices,Engineering,0
41,Make $2000 weekly at home,Anywhere,,,,,Type ads from home earn daily!,,,0,0,Not Applicable,,,,Writing and Editing,1
42,SEO Specialist,Remote,Marketing,50000-70000,Digital agency.,Optimize content for search rankings.,3+ years SEO Google Analytics.,Remote health PTO,1,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0
43,Civil Engineer,Houston TX,Engineering,75000-100000,Infrastructure firm.,Design roads bridges and utilities.,PE license preferred.,Health 401k vehicle,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Civil Engineering,Engineering,0
44,Retail Store Manager,Boston MA,Retail,50000-65000,National fashion retailer.,Manage store operations and team.,3+ years retail management.,Health employee discount,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Retail,Management,0
45,Research Scientist,Cambridge MA,R&D,90000-130000,Pharmaceutical company.,Lead drug discovery research.,PhD in chemistry or biology.,Full benefits patent royalties,0,1,1,Full-time,Director,Doctorate,Pharmaceuticals,Research,0
46,Android Developer,San Jose CA,Mobile,95000-140000,App platform company.,Build Android applications.,Kotlin Java Android Studio.,Equity health PTO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
47,Fraud Detection Analyst,New York NY,Risk,80000-105000,Global bank.,Identify and prevent fraudulent transactions.,SQL Python statistical modeling.,Health 401k bonus,0,1,1,Full-time,Associate,Bachelor's Degree,Banking,Finance,0
48,Virtual assistant needed immediately,Remote,,300 per day work from home,,Process orders and earn big!,No experience needed!,,1,0,0,Part-time,Not Applicable,,,Administrative,1
49,Electrical Engineer,Phoenix AZ,Engineering,80000-110000,Semiconductor manufacturer.,Design integrated circuits.,EE degree VLSI experience.,Health 401k relocation,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Semiconductors,Engineering,0
50,Logistics Coordinator,Memphis TN,Logistics,45000-60000,Third-party logistics provider.,Coordinate shipments and vendor relations.,2+ years logistics TMS experience.,Health 401k,0,1,0,Full-time,Associate,Bachelor's Degree,Logistics and Supply Chain,Supply Chain,0
51,Technical Writer,Austin TX,Documentation,65000-85000,Enterprise software company.,Create user guides and API docs.,3+ years technical writing.,Health remote flexible,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Writing and Editing,0
52,Investment Banker,New York NY,Finance,100000-200000,Bulge bracket bank.,Execute M&A and capital markets deals.,IB experience strong modeling.,Bonus health 401k,0,1,1,Full-time,Associate,Master's Degree,Investment Banking,Finance,0
53,Nursing Assistant,Dallas TX,Clinical,30000-40000,Long-term care facility.,Assist RNs with patient care.,CNA certification.,Health 401k shift diff,0,1,0,Full-time,Entry level,High School or equivalent,Hospital and Health Care,Health Care Provider,0
54,Environmental Scientist,Denver CO,Environment,60000-80000,Environmental consulting firm.,Conduct field assessments and reports.,Environmental science degree.,Health 401k outdoor benefits,0,1,1,Full-time,Associate,Bachelor's Degree,Environmental Services,Science,0
55,Make money online from home no experience,Remote,,Earn $500 daily,,Work from home immediately!,None required you can start now!,,1,0,0,Contract,,,,Information Technology,1
56,UI Developer,Chicago IL,Frontend,75000-105000,Digital product studio.,Build responsive web interfaces.,React TypeScript CSS.,Health equity PTO,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Engineering,0
57,Pharmacist,Houston TX,Pharmacy,110000-130000,National pharmacy chain.,Dispense medications and counsel patients.,PharmD license.,Health 401k relocation,0,1,1,Full-time,Mid-Senior level,Doctorate,Pharmaceuticals,Health Care Provider,0
58,Business Development Manager,New York NY,Sales,90000-130000,Global tech company.,Drive partnerships and revenue growth.,7+ years BD experience.,Health equity bonus,0,1,1,Full-time,Director,Master's Degree,Information Technology and Services,Business Development,0
59,Mechanical Engineer,Detroit MI,Engineering,75000-100000,Automotive supplier.,Design powertrain components.,SolidWorks FEA experience.,Health 401k profit sharing,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Automotive,Engineering,0
60,Dental Hygienist,Seattle WA,Clinical,60000-75000,Multi-location dental practice.,Perform dental cleanings and exams.,RDH license.,Health retirement PTO,0,1,0,Full-time,Associate,Associate Degree,Hospital and Health Care,Health Care Provider,0
61,Photographer,New York NY,Creative,,Lifestyle brand.,Capture product and editorial images.,5+ years portfolio required.,Creative stipend travel,0,1,1,Contract,Mid-Senior level,Bachelor's Degree,Photography,Design,0
62,Principal Engineer,San Francisco CA,Engineering,160000-220000,Unicorn startup.,Lead architecture for distributed systems.,10+ years systems experience.,Equity health unlimited PTO,0,1,1,Full-time,Director,Master's Degree,Computer Software,Engineering,0
63,Database Administrator,Atlanta GA,IT,80000-105000,Healthcare IT company.,Manage SQL Server and Oracle databases.,DBA certification 5+ years.,Health 401k on-call pay,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
64,Home based data entry no experience,Anywhere,,500 weekly easy money,,Enter data from home set your own hours!,No qualifications required!,,1,0,0,Part-time,Not Applicable,,,Administrative,1
65,Marketing Director,Chicago IL,Marketing,120000-160000,Consumer goods company.,Lead marketing strategy and team.,10+ years marketing leadership.,Health equity bonus,0,1,1,Full-time,Director,Master's Degree,Consumer Goods,Marketing,0
66,Physical Therapist,Phoenix AZ,Clinical,75000-95000,Orthopedic clinic.,Treat patients recovering from injuries.,PT license DPT preferred.,Health malpractice 401k,0,1,1,Full-time,Mid-Senior level,Doctorate,Hospital and Health Care,Health Care Provider,0
67,Copywriter,Remote,Marketing,55000-75000,Advertising agency.,Write compelling ad copy.,3+ years copywriting portfolio.,Remote health creative,1,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Writing and Editing,0
68,Network Engineer,San Jose CA,IT,90000-120000,Networking hardware company.,Design and maintain enterprise networks.,CCNP or CCIE certification.,Health equity 401k,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Networking,Information Technology,0
69,Actuary,Hartford CT,Insurance,95000-140000,Insurance company.,Model risk using statistical methods.,FSA or ASA credential.,Health 401k bonus,0,1,1,Full-time,Mid-Senior level,Master's Degree,Insurance,Finance,0
70,Earn from home daily payouts available,Anywhere,,Daily payouts $100+,,Flexible work from home opportunity!,Just a smartphone!,,1,0,0,Part-time,Not Applicable,,,Information Technology,1
71,Architect,New York NY,Architecture,80000-120000,Urban design firm.,Design commercial and residential buildings.,Licensed architect 7+ years.,Health flex PTO,0,1,1,Full-time,Mid-Senior level,Master's Degree,Architecture and Planning,Design,0
72,Compliance Officer,Boston MA,Legal,90000-130000,Asset management firm.,Ensure regulatory compliance.,JD or compliance certification.,Health 401k bonus,0,1,1,Full-time,Director,Master's Degree,Financial Services,Legal,0
73,Game Developer,Los Angeles CA,Engineering,90000-130000,Mobile gaming studio.,Build mobile game features.,Unity C# mobile experience.,Equity health creative perks,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Games,Engineering,0
74,Warehouse Associate,Cincinnati OH,Operations,30000-40000,E-commerce fulfillment center.,Pick pack and ship orders.,Physical stamina reliability.,Health 401k shift diff,0,1,0,Full-time,Entry level,High School or equivalent,Warehousing,Distribution,0
75,Get paid to take surveys from home,Remote,,Earn $50+ per survey,,Complete surveys earn gift cards and cash!,None!,,1,0,0,Part-time,Not Applicable,,,Internet,1
76,Speech Therapist,Nashville TN,Clinical,70000-90000,School district.,Provide speech language services.,SLP license CCC-SLP.,Health state pension PTO,0,1,1,Full-time,Mid-Senior level,Master's Degree,Education Management,Health Care Provider,0
77,Scrum Master,Seattle WA,Agile,90000-120000,Enterprise software company.,Facilitate agile ceremonies and remove blockers.,CSM or PSM certification.,Health equity PTO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Project Management,0
78,Veterinarian,Austin TX,Veterinary,90000-120000,Small animal clinic.,Diagnose and treat companion animals.,DVM license.,Health malpractice 401k,0,1,1,Full-time,Associate,Doctorate,Veterinary,Health Care Provider,0
79,Social Worker,San Francisco CA,Social Services,55000-70000,County government.,Provide case management services.,MSW license.,State pension health PTO,0,1,1,Full-time,Mid-Senior level,Master's Degree,Government Administration,Community Services,0
80,Blockchain Developer,Miami FL,Engineering,110000-160000,Crypto startup.,Build smart contracts and DeFi protocols.,Solidity Ethereum Web3.,Crypto compensation health,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Engineering,0
81,Insurance Agent,Dallas TX,Sales,35000-60000,Regional insurance company.,Sell life and property insurance policies.,State insurance license.,Commission health,0,1,0,Full-time,Entry level,High School or equivalent,Insurance,Sales,0
82,Work at home simple job hiring now,Remote,,1000 weekly guaranteed,,Flexible part-time work from home!,Must have internet connection!,,1,0,0,Part-time,Not Applicable,,,Internet,1
83,Technical Support Engineer,Austin TX,Support,55000-75000,SaaS company.,Resolve customer technical issues.,Linux networking scripting.,Health equity PTO,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0
84,Radiologist,Houston TX,Clinical,350000-450000,Hospital system.,Read and interpret diagnostic images.,MD radiology board certified.,Physician package malpractice,0,1,1,Full-time,Director,Doctorate,Hospital and Health Care,Health Care Provider,0
85,Embedded Systems Engineer,San Diego CA,Engineering,90000-130000,Defense electronics firm.,Develop firmware for military systems.,C RTOS FPGA experience.,Health clearance 401k,0,1,1,Full-time,Mid-Senior level,Master's Degree,Defense and Space,Engineering,0
86,Receive checks at home daily,Anywhere,,500 per check weekly pay,,Process payments from home no experience!,No skills needed!,,1,0,0,Contract,Not Applicable,,,Financial Services,1
87,Event Planner,New York NY,Events,55000-75000,Corporate events company.,Plan and execute corporate events.,3+ years event planning.,Travel health flexible,0,1,1,Full-time,Associate,Bachelor's Degree,Events Services,Marketing,0
88,Pension Actuary,Chicago IL,Finance,100000-140000,Benefits consulting firm.,Value defined benefit pension plans.,Fellow of the Society of Actuaries.,Health 401k bonus,0,1,1,Full-time,Mid-Senior level,Master's Degree,Management Consulting,Finance,0
89,Structural Engineer,Denver CO,Engineering,80000-110000,Engineering consultancy.,Design structural systems for buildings.,PE license structural experience.,Health 401k,0,1,1,Full-time,Mid-Senior level,Master's Degree,Civil Engineering,Engineering,0
90,Customer Success Manager,San Francisco CA,Customer Success,80000-110000,Enterprise SaaS company.,Onboard and retain enterprise customers.,3+ years CSM experience.,Equity health unlimited PTO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Customer Service,0
91,Easy part time work from home,Remote,,300 to 700 weekly,,Flexible hours work when you want!,Phone and internet!,,1,0,0,Part-time,Not Applicable,,,Internet,1
92,Occupational Therapist,Boston MA,Clinical,70000-90000,Rehabilitation hospital.,Help patients regain daily living skills.,OT license.,Health malpractice 401k,0,1,1,Full-time,Associate,Master's Degree,Hospital and Health Care,Health Care Provider,0
93,Salesforce Developer,Chicago IL,CRM,90000-125000,Consulting firm.,Build Salesforce solutions for clients.,Salesforce certifications.,Health 401k bonus,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Engineering,0
94,Pilot,Dallas TX,Aviation,100000-180000,Regional airline.,Fly commercial passenger routes.,ATP certificate 1500 hours.,Benefits travel health,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Airlines and Aviation,Transportation,0
95,Earn 5000 weekly online no work,Anywhere,,5000 per week,,Click here earn money automatically!,No work required!,,1,0,0,Other,Not Applicable,,,Internet,1
96,Tax Manager,New York NY,Finance,110000-150000,Big 4 accounting firm.,Lead tax advisory services.,CPA 7+ years tax experience.,Health 401k bonus promotion,0,1,1,Full-time,Director,Master's Degree,Accounting,Accounting and Finance,0
97,Interior Designer,Los Angeles CA,Design,60000-85000,Luxury real estate firm.,Design high-end residential interiors.,NCIDQ certification portfolio.,Travel health creative,0,1,1,Full-time,Associate,Bachelor's Degree,Design,Design,0
98,Security Engineer,Seattle WA,Security,110000-150000,Cloud security company.,Build security tooling and processes.,AppSec penetration testing.,Health equity unlimited PTO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer and Network Security,Information Technology,0
99,Oncologist,Boston MA,Clinical,350000-500000,Cancer treatment center.,Diagnose and treat cancer patients.,MD oncology fellowship.,Physician package malpractice,0,1,1,Full-time,Director,Doctorate,Hospital and Health Care,Health Care Provider,0
100,Send money orders from home earn commission,Anywhere,,Easy commission,,Help transfer funds earn percentage!,Bank account required!,,1,0,0,Contract,Not Applicable,,,Financial Services,1
101,Talent Acquisition Manager,San Francisco CA,HR,90000-120000,Hypergrowth startup.,Lead technical recruiting strategy.,7+ years TA experience.,Equity health unlimited PTO,0,1,1,Full-time,Director,Bachelor's Degree,Internet,Human Resources,0
102,Chemical Engineer,Houston TX,Engineering,85000-115000,Petrochemical company.,Design chemical processing systems.,ChE degree P.E. preferred.,Health 401k relocation,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Oil and Energy,Engineering,0
103,Fashion Designer,New York NY,Design,60000-90000,Apparel company.,Design clothing collections.,Portfolio required fashion degree.,Health travel creative,0,1,1,Full-time,Associate,Bachelor's Degree,Apparel and Fashion,Design,0
104,Derivatives Trader,Chicago IL,Finance,,Hedge fund.,Trade equity and fixed income derivatives.,Series 7 and 63 quantitative skills.,Bonus health 401k,0,1,1,Full-time,Mid-Senior level,Master's Degree,Investment Management,Finance,0
105,Get rich working online today,Anywhere,,Rich quick money,,Make thousands online instantly!,Computer and internet!,,1,0,0,Other,Not Applicable,,,Internet,1
106,Network Administrator,Minneapolis MN,IT,60000-80000,Regional bank.,Manage LAN/WAN infrastructure.,CCNA or equivalent experience.,Health 401k PTO,0,1,0,Full-time,Associate,Associate Degree,Banking,Information Technology,0
107,Supply Chain Manager,Columbus OH,Supply Chain,90000-120000,Consumer products company.,Optimize global supply chain operations.,7+ years supply chain APICS.,Health equity bonus,0,1,1,Full-time,Director,Master's Degree,Consumer Goods,Supply Chain,0
108,Web Developer,Remote,Engineering,65000-90000,Digital agency.,Build client websites and apps.,HTML CSS JavaScript React.,Health remote stipend PTO,1,1,1,Full-time,Associate,Bachelor's Degree,Internet,Engineering,0
109,Purchasing Manager,Detroit MI,Procurement,80000-105000,Manufacturing company.,Manage supplier contracts and costs.,5+ years procurement CPM preferred.,Health 401k bonus,0,1,1,Full-time,Director,Bachelor's Degree,Mechanical or Industrial Engineering,Supply Chain,0
110,Earn big from home get paid daily,Anywhere,,Daily cash,,Work from home make money every day!,Just a device!,,1,0,0,Part-time,Not Applicable,,,Internet,1
111,Software Architect,Boston MA,Engineering,140000-190000,Fintech company.,Design microservices and API strategy.,10+ years software engineering.,Equity health generous PTO,0,1,1,Full-time,Director,Master's Degree,Financial Services,Engineering,0
112,Epidemiologist,Atlanta GA,Public Health,70000-95000,Public health agency.,Investigate disease outbreaks.,MPH epidemiology concentration.,Health federal benefits,0,1,1,Full-time,Mid-Senior level,Master's Degree,Government Administration,Research,0
113,Real Estate Agent,Miami FL,Real Estate,,Real estate brokerage.,List and sell residential properties.,Florida real estate license.,Commission health,0,1,0,Full-time,Entry level,High School or equivalent,Real Estate,Sales,0
114,Customer Data Platform Engineer,Seattle WA,Data,100000-140000,Retail tech company.,Build customer data pipelines.,Spark Kafka cloud data warehouses.,Health equity unlimited PTO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Retail,Engineering,0
115,Make money at home with no experience,Remote,,Easy income,,Start earning from your couch today!,Just sign up!,,1,0,0,Other,Not Applicable,,,Internet,1
116,Firmware Engineer,San Diego CA,Engineering,90000-130000,Consumer electronics company.,Write low-level firmware for IoT devices.,C C++ RTOS ARM embedded.,Health equity PTO,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Consumer Electronics,Engineering,0
117,Healthcare Administrator,Chicago IL,Administration,80000-110000,Health system.,Manage hospital operations and budgets.,MHA or MBA 5+ years.,Health 401k bonus,0,1,1,Full-time,Director,Master's Degree,Hospital and Health Care,Management,0
118,Front End Developer,New York NY,Engineering,80000-110000,Media company.,Build interactive news applications.,React TypeScript accessibility.,Health equity creative,0,1,1,Full-time,Associate,Bachelor's Degree,Online Media,Engineering,0
119,Insurance Underwriter,Hartford CT,Insurance,70000-100000,Commercial insurance company.,Assess risk and price insurance policies.,5+ years underwriting CPCU preferred.,Health 401k bonus,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Insurance,Finance,0
120,Earn thousands weekly from home legit,Remote,,5000 weekly real income,,Legitimate work from home income opportunity,Just your time!,,1,0,0,Part-time,Not Applicable,,,Internet,1
121,Site Reliability Engineer,San Francisco CA,Engineering,120000-170000,Social media platform.,Maintain reliability of production systems.,SRE practices Go Python.,Equity health commuter,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0
122,Zoologist,Washington DC,Research,55000-75000,Wildlife conservation NGO.,Study animal populations in the field.,MS zoology or biology.,Health field benefits,0,1,1,Full-time,Associate,Master's Degree,Research,Science,0
123,Procurement Analyst,Chicago IL,Procurement,60000-80000,Healthcare system.,Analyze purchasing spend and vendors.,3+ years procurement analytics SQL.,Health 401k,0,1,1,Full-time,Associate,Bachelor's Degree,Hospital and Health Care,Supply Chain,0
124,Treasurer,New York NY,Finance,150000-220000,Global manufacturer.,Manage corporate liquidity and debt.,CTP 10+ years treasury.,Health equity bonus,0,1,1,Full-time,Director,Master's Degree,Industrial Automation,Finance,0
125,Typing job from home daily pay,Anywhere,,150 per day,,Type simple documents earn daily!,Typing speed required!,,1,0,0,Part-time,Not Applicable,,,Administrative,1
126,Aerospace Engineer,Los Angeles CA,Engineering,90000-130000,Space technology company.,Design and test rocket components.,Aerospace engineering MATLAB.,Health equity launch perks,0,1,1,Full-time,Mid-Senior level,Master's Degree,Defense and Space,Engineering,0
127,Benefits Administrator,Dallas TX,HR,55000-70000,Large employer.,Administer health and retirement plans.,CEBS designation preferred.,Health 401k PTO,0,1,0,Full-time,Associate,Bachelor's Degree,Human Resources,Human Resources,0
128,Growth Hacker,San Francisco CA,Marketing,80000-120000,Consumer startup.,Run rapid experiments to grow user base.,Analytics A/B testing SQL.,Equity health unlimited PTO,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Marketing,0
129,Paid surveys work from home easy money,Remote,,50 per survey no experience,,Fill out surveys and earn cash online!,Just an email address!,,1,0,0,Part-time,Not Applicable,,,Internet,1
130,AI Researcher,San Francisco CA,Research,130000-200000,AI lab.,Publish novel machine learning research.,PhD top ML publication record.,Research budget health equity,0,1,1,Full-time,Director,Doctorate,Research,Research,0
131,Instructional Designer,Remote,Learning,65000-85000,Corporate training company.,Design e-learning courses.,Articulate Storyline LMS experience.,Remote health flexible,1,1,1,Full-time,Associate,Master's Degree,E-Learning,Training,0
132,Hedge Fund Analyst,New York NY,Finance,120000-200000,Long/short equity fund.,Generate investment ideas and models.,CFA MBA finance modeling.,Bonus health 401k,0,1,1,Full-time,Associate,Master's Degree,Investment Management,Finance,0
133,Easy income from home start immediately,Remote,,1000 weekly easy,,No experience required begin earning today!,Just internet access!,,1,0,0,Other,Not Applicable,,,Internet,1
